"","x"
"1",885.2
"2",994.7
"3",1243.6
"4",1191.2
"5",1203.2
"6",1254.7
"7",1162.3
"8",1026.1
"9",1057.9
"10",1129.4
"11",1084.4
"12",1061.8
"13",969.9
"14",1092.1
"15",1451.1
"16",1354.4
"17",1377.1
"18",1459.8
"19",1202
"20",1234.5
"21",1104.6
"22",1341.3
"23",1181.6
"24",1090.6
"25",931.3
"26",1071.4
"27",1480.6
"28",1406.5
"29",1557.6
"30",1549.4
"31",1289.2
"32",1317.1
"33",1103.5
"34",1397
"35",1248.7
"36",1068.5
"37",1077.5
"38",1148.7
"39",1483.8
"40",1304.6
"41",1373
"42",1183.8
"43",1164.4
"44",1207.2
"45",1029.6
"46",1197.6
"47",1018.6
"48",959.7
"49",1042
"50",1038.7
"51",1141.9
"52",946.6
"53",893.8
"54",932.7
"55",1006.6
"56",884.2
"57",847.4
"58",1043.4
"59",870.5
"60",821.4
"61",814.3
"62",949.2
"63",1178.8
"64",962.9
"65",933.1
"66",942.7
"67",896.9
"68",1009
"69",864.8
"70",822
"71",743
"72",673.2
"73",714.4
"74",840.5
"75",1057.3
"76",877.2
"77",1020.2
"78",868.4
"79",827.4
"80",794
"81",891.1
"82",840.9
"83",971.5
"84",839.3
"85",789.3
"86",821.6
"87",1102
"88",1012.3
"89",1109.9
"90",1205.4
"91",1051.7
"92",993.1
"93",980.4
"94",1126
"95",1050.2
"96",1054
"97",1056.9
"98",1158.9
"99",1351.5
"100",1245.8
"101",1451.7
"102",1315.9
"103",1237.2
"104",1129.6
"105",1053.4
"106",1266.5
"107",1141.1
"108",1074.8
"109",1196.6
"110",1210.6
"111",1391
"112",1380.3
"113",1498.9
"114",1332.9
"115",1337.6
"116",1345.8
"117",1463.5
"118",1243.2
"119",1120.9
"120",1198.8
"121",1213.8
"122",1182.2
"123",1297.6
"124",1390.1
"125",1530.3
"126",1426.5
"127",1378
"128",1344.1
"129",1733.6
"130",1270.6
"131",1119.9
"132",1431.1
"133",918.9
"134",1148.4
"135",1381.7
"136",1385.3
"137",1298.5
"138",1419.6
"139",1355.8
"140",1400.6
"141",1300.5
"142",1193.2
"143",1110.7
"144",1249.2
"145",1122.5
"146",1308.8
"147",1505
"148",1333.5
"149",1455.4
"150",1483.1
"151",1302.8
"152",1317
"153",1223.2
"154",1249.9
"155",1191.1
"156",1285.2
"157",1084.2
"158",1127.3
"159",1337.6
"160",1354.8
"161",1438.4
"162",1329.2
"163",1279.1
"164",1441.9
"165",1263.8
"166",1116.9
"167",1047.6
"168",1011.9
"169",1161.3
"170",1073.4
"171",1295.2
"172",1226.3
"173",1332.1
"174",1306.1
"175",1244.4
"176",1196.9
"177",1144.8
"178",1169
"179",1000.5
"180",987.2
"181",839.3
"182",927.5
"183",1103.1
"184",1059.6
"185",1174
"186",1175.3
"187",1185.2
"188",1063
"189",1062.2
"190",1047.6
"191",932.1
"192",961.5
"193",867.8
"194",988.5
"195",1128.4
"196",1144.9
"197",1169.7
"198",1297
"199",1158.2
"200",1065.2
"201",1095.4
"202",1132.2
"203",988.6
"204",1070.7
"205",915.3
"206",976.1
"207",1228.9
"208",1273.5
"209",1342.2
"210",1383.1
"211",1266.9
"212",1158.8
"213",1164.6
"214",1182.5
"215",1140.9
"216",1152.7
"217",1045.5
"218",1170.9
"219",1472.2
"220",1337.9
"221",1382.1
"222",1479.6
"223",1219.5
"224",1329.3
"225",1252.1
"226",1291.8
"227",1197.9
"228",1218.9
"229",1031.5
"230",1128.7
"231",1403.3
"232",1216
"233",1427.5
"234",1477.2
"235",1255.3
"236",1365.2
"237",1214.4
"238",1226
"239",1169.1
"240",1202.6
"241",1050.6
"242",1237.9
"243",1404.4
"244",1359.3
"245",1522.9
"246",1404.2
"247",1317.3
"248",1333.4
"249",1231.4
"250",1296.6
"251",1146.4
"252",1151.8
"253",1114.6
"254",1177.4
"255",1425.9
"256",1310.3
"257",1435.8
"258",1355
"259",1376.6
"260",1348.2
"261",1238.5
"262",1282
"263",1146.1
"264",1287.7
"265",1044.1
"266",1173
"267",1405.5
"268",1390.9
"269",1543.9
"270",1606.6
"271",1264.9
"272",1265.1
"273",1314.4
"274",1407.5
"275",1176.4
"276",1375
"277",1123.7
"278",1325.7
"279",1580.2
"280",1451.7
"281",1632.6
"282",1651.4
"283",1529
"284",1523.6
"285",1442.5
"286",1396.8
"287",1317.2
"288",1440.6
"289",1239.3
"290",1539.3
"291",1713
"292",1538.9
"293",1664.9
"294",1662.7
"295",1468.6
"296",1578.8
"297",1506.3
"298",1367.7
"299",1260.9
"300",1271.2
"301",1196.3
"302",1381.5
"303",1627.8
"304",1377
"305",1635.2
"306",1652.2
"307",1374.6
"308",1478.2
"309",1312.5
"310",1753.2
"311",1347.9
"312",1336.1
"313",1129.999
"314",1328.755
"315",1541.215
"316",1471.801
"317",1538.496
"318",1563.938
"319",1551.996
"320",1734.956
"321",1250.986
"322",1331.09
"323",1227.557
"324",1467.708
"325",1108.279
"326",1237.619
"327",1474.819
"328",1436.733
"329",1601.145
"330",1502.328
"331",1538.781
"332",1656.167
"333",1329.499
"334",1333.497
"335",1285.36
"336",1463.264
"337",1149.668
"338",1303.718
"339",1540.321
"340",1455.643
"341",1660.854
"342",1480.758
"343",1589.173
"344",1463.409
"345",1470.081
"346",1370.093
"347",1231.197
"348",1583.603
"349",1095.851
"350",1286.074
"351",1615.983
"352",1542.051
"353",1537.321
"354",1720.006
"355",1845.713
"356",1524.158
"357",1366.93
"358",1184.16
"359",1200.786
"360",1525.713
"361",1176.162
"362",1298.13
"363",1576.647
"364",1489.804
"365",1533.712
"366",1545.268
"367",1531.114
"368",1530.014
"369",1394.215
"370",1260.626
"371",1236.584
"372",1476.413
"373",1124.216
"374",1285.136
"375",1574.877
"376",1365.965
"377",1590.262
"378",1481.21
"379",1331.024
"380",1500.386
"381",1335.814
"382",1256.533
"383",1200.511
"384",1414.147
"385",1063.408
"386",1196.431
"387",1378.605
"388",1272.999
"389",1420.485
"390",1212.54
"391",1156.003
"392",1269.113
"393",984.592
"394",859.026
"395",763.936
"396",916.12
"397",670.466
"398",701.635
"399",872.848
"400",832.588
"401",938.41
"402",874.874
"403",1011.769
"404",1274.678
"405",759.633
"406",853.942
"407",761.865
"408",1049.27
"409",712.469
"410",793.362
"411",1083.953
"412",997.334
"413",1117.57
"414",1000.455
"415",1065.748
"416",1011.564
"417",973.954
"418",965.135
"419",888.085
"420",1162.897
"421",836.366
"422",1007.082
"423",1276.843
"424",1173.52
"425",1081.272
"426",1071.229
"427",1086.064
"428",1094.479
"429",1076.037
"430",1048.258
"431",1028.774
"432",1268.462
"433",938.17
"434",1175.82
"435",1434.004
"436",1204.471
"437",1369.493
"438",1310.158
"439",1171.809
"440",1305.342
"441",1206.182
"442",1119.148
"443",1169.803
"444",1375.084
"445",1065.798
"446",1217.858
"447",1479.427
"448",1313.768
"449",1473.275
"450",1425.802
"451",1335.833
"452",1527.483
"453",1152.814
"454",1235.532
"455",1271.446
"456",1383.676
"457",1043.019
"458",1221.37
"459",1562.748
"460",1408.232
"461",1644.367
"462",1451.814
"463",1473.962
"464",1607.315
"465",1272.036
"466",1312.329
"467",1324.117
"468",1538.534
"469",1177.91
"470",1285.147
"471",1579.627
"472",1479.335
"473",1668.452
"474",1518.66
"475",1546.818
"476",1598.265
"477",1474.925
"478",1486.42
"479",1358.777
"480",1671.288
"481",1188.775
"482",1374.272
"483",1614.069
"484",1524.1
"485",1552.659
"486",1548.86
"487",1546.818
"488",1539.79
"489",1462.065
"490",1397.057
"491",1399.375
"492",1717.933
"493",1164.323
"494",1352.076
"495",1582.674
"496",1449.717
"497",1543.862
"498",1502.804
"499",1441.011
"500",1512.07
"501",1553.133
"502",1385.649
"503",1424.527
"504",1639.555
"505",1181.715
"506",1328.14
"507",1687.609
"508",1391.226
"509",1626.484
"510",1586.664
"511",1403.118
"512",1527.416
"513",1474.997
"514",1405.908
"515",1422.219
"516",1665.906
"517",1171.503
"518",1288.278
"519",1642.75
"520",1372.659
"521",1628.074
"522",1554.748
"523",1443.947
"524",1685.342
"525",1315.632
"526",1380.18
"527",1446.483
"528",1565.023
